id2,geography,year,state,percent_renter,percent_asian,percent_black,percent_hispanic,percent_multifamily_housing,eviction_rate,poverty_rate,median_income,avg_cost_electricity,avg_cost_gas,avg_cost_water,asthma_rate
8031004801,"Census Tract 48.01, Denver County, Colorado",2013,CO,0.059,0.049,0,0.372,0,0.75,9.57,59955,920.87,920.87,178.78,n/a
8031005001,"Census Tract 50.01, Denver County, Colorado",2013,CO,0.24,0.003,0.154,0.083,0.132911392,2.55,11.57,46492,963.05,652.47,376.58,n/a
8031005002,"Census Tract 50.02, Denver County, Colorado",2013,CO,0.645,0.072,0.197,0.092,0.703009654,5.32,19.88,32660,468,309.75,248.12,n/a
8031005102,"Census Tract 51.02, Denver County, Colorado",2013,CO,0.257,0.009,0.03,0.182,0.119669001,4.6,6.52,59940,769.01,1084.05,513.93,n/a
8031005104,"Census Tract 51.04, Denver County, Colorado",2013,CO,0.788,0.045,0.066,0.237,0.759470836,3.5,19.56,32163,2268,1512,631,n/a
8031005200,"Census Tract 52, Denver County, Colorado",2013,CO,0.148,0.042,0.033,0.105,0.046875,1.75,5.15,78654,1288,1236.17,592.75,n/a
8031005300,"Census Tract 53, Denver County, Colorado",2013,CO,0.572,0.036,0.081,0.144,0.434074074,2.27,8.52,34643,1140,636,147,n/a
8031005502,"Census Tract 55.02, Denver County, Colorado",2013,CO,0.451,0.074,0.046,0.393,0.415156507,3.34,2.84,66607,1509.15,1119.05,264.73,n/a
8031005503,"Census Tract 55.03, Denver County, Colorado",2013,CO,0.096,0.033,0.011,0.313,0.220450797,2.22,10.58,61042,1767.62,1112.6,180.77,n/a
8031006701,"Census Tract 67.01, Denver County, Colorado",2013,CO,0.896,0.062,0.012,0.046,0.96956978,3.36,5.17,55700,539.72,825.21,356.77,n/a
8031006804,"Census Tract 68.04, Denver County, Colorado",2013,CO,0.44,0.035,0.034,0.021,0.542877907,1.92,1.24,81607,607.66,544.55,391.97,n/a
8031006809,"Census Tract 68.09, Denver County, Colorado",2013,CO,0.393,0.045,0.116,0.081,0.58810869,1.26,2.27,51597,1392,1392,105,n/a
8031006810,"Census Tract 68.10, Denver County, Colorado",2013,CO,0.422,0.074,0.134,0.136,0.378368402,2.32,1.58,60491,876.64,715.04,374.45,n/a
8031006811,"Census Tract 68.11, Denver County, Colorado",2013,CO,0.505,0.06,0.082,0.08,0.584,2.53,3.29,53979,634.67,766.67,64.56,n/a
8031006812,"Census Tract 68.12, Denver County, Colorado",2013,CO,0.205,0.031,0.042,0.077,0.525824176,1.93,2.47,41274,566.12,541.41,154.1,n/a
8031006813,"Census Tract 68.13, Denver County, Colorado",2013,CO,0.737,0.025,0.235,0.074,0.821634062,2.37,14.02,26975,875.77,399.43,243.71,n/a
8031006814,"Census Tract 68.14, Denver County, Colorado",2013,CO,0.521,0.045,0.083,0.284,0.554307116,9.02,18.62,39892,-9999,-9999,-9999,n/a
8031006901,"Census Tract 69.01, Denver County, Colorado",2013,CO,0.77,0.025,0.092,0.237,0.778591353,6.4,12.58,26365,875.77,399.43,243.71,n/a
8031007006,"Census Tract 70.06, Denver County, Colorado",2013,CO,1,0.152,0.141,0.27,0.983705949,7.99,10.38,28255,391.96,288.35,457.94,n/a
8031007013,"Census Tract 70.13, Denver County, Colorado",2013,CO,0.286,0.012,0.151,0.104,0.475475475,1.4,3.98,58778,769.01,1084.05,513.93,n/a
8031007037,"Census Tract 70.37, Denver County, Colorado",2013,CO,0.835,0.029,0.277,0.384,0.837545126,7.58,30.15,29936,929.14,304.8,122.14,n/a
8031007088,"Census Tract 70.88, Denver County, Colorado",2013,CO,0.783,0.041,0.156,0.172,0.889430285,6.33,15.73,44496,1543.11,2327.11,236.96,n/a
8031007089,"Census Tract 70.89, Denver County, Colorado",2013,CO,0.295,0.012,0.146,0.108,0.948657188,2.09,11.93,28253,391.96,288.35,457.94,n/a
8031008304,"Census Tract 83.04, Denver County, Colorado",2013,CO,0.324,0.011,0.233,0.622,0.025027203,4.21,22.47,40863,-9999,-9999,-9999,n/a
8031008305,"Census Tract 83.05, Denver County, Colorado",2013,CO,0.316,0.02,0.198,0.663,0.015579357,4.08,18.92,44500,2016,384,53,n/a
8031008306,"Census Tract 83.06, Denver County, Colorado",2013,CO,0.583,0.011,0.255,0.667,0.416436845,11.14,33.19,40571,-9999,-9999,-9999,n/a
8031008312,"Census Tract 83.12, Denver County, Colorado",2013,CO,0.452,0.005,0.331,0.5,0.273057701,5.09,25.51,34410,726.72,252,192.7,n/a
8031008386,"Census Tract 83.86, Denver County, Colorado",2013,CO,0.197,0.015,0.209,0.653,0,3.62,11.16,47549,776.82,1170.71,425.32,n/a
8031008387,"Census Tract 83.87, Denver County, Colorado",2013,CO,0.278,0.041,0.253,0.552,0.007590133,2.75,23.39,53125,950.07,643.03,629.79,n/a
8031008388,"Census Tract 83.88, Denver County, Colorado",2013,CO,0.578,0.038,0.248,0.478,0.533938294,6.01,3.33,53192,950.07,643.03,629.79,n/a
8031008389,"Census Tract 83.89, Denver County, Colorado",2013,CO,0.092,0.145,0.282,0.339,0.017165669,3.22,2.09,79208,1932,1013.02,389.39,n/a
8031008390,"Census Tract 83.90, Denver County, Colorado",2013,CO,0.359,0.035,0.28,0.435,0.158959538,5.84,15.49,58310,-9999,-9999,-9999,n/a
8031008391,"Census Tract 83.91, Denver County, Colorado",2013,CO,0.233,0.034,0.282,0.495,0,3.77,5.3,72805,1840.72,2756.13,593.68,n/a
8031011902,"Census Tract 119.02, Denver County, Colorado",2013,CO,0.518,0.008,0.001,0.487,0.557388316,4.03,8.65,53497,628.62,691.12,373.69,n/a
8031011903,"Census Tract 119.03, Denver County, Colorado",2013,CO,0.337,0.017,0,0.427,0.262765957,4.17,6.67,62835,1767.62,1112.6,180.77,n/a
8031012001,"Census Tract 120.01, Denver County, Colorado",2013,CO,0.267,0.043,0.036,0.163,0.355555556,2.78,8.4,69514,1128,972,706.33,n/a
8031012010,"Census Tract 120.10, Denver County, Colorado",2013,CO,0.327,0.044,0,0.183,0.431287129,2.26,1.82,58482,920.87,920.87,178.78,n/a
8031012014,"Census Tract 120.14, Denver County, Colorado",2013,CO,0.38,0.073,0,0.211,0.499501496,2.76,6.42,58225,920.87,920.87,178.78,n/a
